ImageID,SentenceNo,Entity1,Relation,Entity2,Entity1ID,Entity2ID,Answer
1016887272,0,Several climbers,are climbing,the rock,/EN#547/people,/EN#548/other,1
1016887272,2,A group of people,are rock climbing on,a rock climbing wall,/EN#547/people,/EN#548/other,0
1016887272,3,A group of people,climbing,a rock,/EN#547/people,/EN#548/other,1
1016887272,0,Several climbers,while,the man,/EN#547/people,/EN#549/people,0
1016887272,1,Seven climbers,whilst,another man,/EN#547/people,/EN#549/people,0
1016887272,3,A group of people,while,one man,/EN#547/people,/EN#549/people,0
1016887272,0,Several climbers,watches and holds,the line,/EN#547/people,/EN#551/other,0
1016887272,1,Seven climbers,stands holding,the rope,/EN#547/people,/EN#551/other,0
1016887272,0,the rock,while,the man,/EN#548/other,/EN#549/people,0
1016887272,3,a rock,while,one man,/EN#548/other,/EN#549/people,0
1016887272,0,the man,watches and holds,the line,/EN#549/people,/EN#551/other,1
1016887272,1,another man,stands holding,the rope,/EN#549/people,/EN#551/other,1
7162685234,0,Two children,playing on,the beach,/EN#266245/people,/EN#266246/scene,1
7162685234,1,Two children,on,a beach,/EN#266245/people,/EN#266246/scene,0
7162685234,3,Two young &#44; wet boys,on,a beach,/EN#266245/people,/EN#266246/scene,0
7162685234,4,Two little boys,on,the beach,/EN#266245/people,/EN#266246/scene,0
7162685234,0,Two children,in,the sand,/EN#266245/people,/EN#266247/other,0
7162685234,1,Two children,are playing with,sand,/EN#266245/people,/EN#266247/other,1
7162685234,2,two brothers,playing in,the sand,/EN#266245/people,/EN#266247/other,1
7162685234,3,Two young &#44; wet boys,playing in,the sand,/EN#266245/people,/EN#266247/other,0
7162685234,4,Two little boys,play with,sand,/EN#266245/people,/EN#266247/other,1
7162685234,0,Two children,with,the ocean,/EN#266245/people,/EN#266248/scene,0
7162685234,1,Two children,near,the ocean,/EN#266245/people,/EN#266248/scene,0
7162685234,2,two brothers,after swimming in,the ocean,/EN#266245/people,/EN#266248/scene,0
7162685234,0,the beach,with,the ocean,/EN#266246/scene,/EN#266248/scene,0
7162685234,1,a beach,near,the ocean,/EN#266246/scene,/EN#266248/scene,1
7162685234,0,the sand,with,the ocean,/EN#266247/other,/EN#266248/scene,0
7162685234,1,sand,near,the ocean,/EN#266247/other,/EN#266248/scene,0
7162685234,2,the sand,after swimming in,the ocean,/EN#266247/other,/EN#266248/scene,0
7162685234,1,sand,on,a beach,/EN#266247/other,/EN#266246/scene,0
7162685234,3,the sand,on,a beach,/EN#266247/other,/EN#266246/scene,0
7162685234,4,sand,on,the beach,/EN#266247/other,/EN#266246/scene,0
3000017878,0,a band,on,a stage,/EN#86435/people,/EN#86436/scene,0
3000017878,1,A band,plays on,stage,/EN#86435/people,/EN#86436/scene,0
3000017878,4,This band,is playing on,a stage,/EN#86435/people,/EN#86436/scene,0
3000017878,0,a band,with,a brightly colored backdrop,/EN#86435/people,/EN#86437/scene,0
3000017878,1,A band,in front of,a colorful backdrop,/EN#86435/people,/EN#86437/scene,0
3000017878,3,A band,playing on,a colorful stage,/EN#86435/people,/EN#86437/scene,0
3000017878,0,a stage,with,a brightly colored backdrop,/EN#86436/scene,/EN#86437/scene,1
3000017878,1,stage,in front of,a colorful backdrop,/EN#86436/scene,/EN#86437/scene,0
4971484184,0,A topless mannequin,is being displayed in,a window,/EN#224776/other,/EN#224778/other,0
4971484184,3,A semi-nude mannequin,is posed in,the window,/EN#224776/other,/EN#224778/other,0
4971484184,2,A topless mannequin,is photographed next to,a blue car,/EN#224776/other,/EN#224781/vehicles,0
4971484184,4,A mannequin,behind,a blue car,/EN#224776/other,/EN#224781/vehicles,1
92679312,0,A young white boy,smiling into,a microphone,/EN#283585/people,/EN#283586/other,0
92679312,2,young boy,singing together using,microphones,/EN#283585/people,/EN#283586/other,0
92679312,4,a boy,holding,microphones,/EN#283585/people,/EN#283587/other,0
92679312,0,a slightly balding white male,smiling into,a microphone,/EN#283584/people,/EN#283587/other,1
92679312,4,A man,holding,microphones,/EN#283584/people,/EN#283587/other,1
92679312,2,Man,and,young boy,/EN#283584/people,/EN#283585/people,0
92679312,3,A man,and,a young boy,/EN#283584/people,/EN#283585/people,0
92679312,4,A man,and,a boy,/EN#283584/people,/EN#283585/people,0
2853682342,0,A man,in,a white shirt,/EN#76914/people,/EN#76915/clothing,1
2853682342,1,A man,in,a blue shirt,/EN#76914/people,/EN#76915/clothing,1
2853682342,0,A man,is running and jumping in,the grass,/EN#76914/people,/EN#76916/scene,0
2853682342,1,A man,in,a park,/EN#76914/people,/EN#76916/scene,0
2853682342,3,A man,in,a forested park,/EN#76914/people,/EN#76916/scene,0
2853682342,0,a white shirt,is running and jumping in,the grass,/EN#76915/clothing,/EN#76916/scene,0
2853682342,1,a blue shirt,in,a park,/EN#76915/clothing,/EN#76916/scene,0
2853682342,1,A man,&#44; jumping down,a hill,/EN#76914/people,/EN#76917/scene,0
2853682342,3,A man,jumping down,a hill,/EN#76914/people,/EN#76917/scene,1
2853682342,1,a hill,in,a park,/EN#76917/scene,/EN#76916/scene,0
2853682342,3,a hill,in,a forested park,/EN#76917/scene,/EN#76916/scene,0
5131842202,0,a clown,in,the back of his tent,/EN#229562/people,/EN#229564/scene,0
5131842202,1,A clown,sits in front of,a tent,/EN#229562/people,/EN#229564/scene,0
5131842202,4,A smiling clown,by,his booth,/EN#229562/people,/EN#229564/scene,0
5131842202,1,A clown,and,a pink hat,/EN#229562/people,/EN#229563/clothing,0
5131842202,3,A clown,in,a hat,/EN#229562/people,/EN#229563/clothing,0
4859170265,0,Two blond girls,are advertising in,a public space,/EN#211901/people,/EN#211903/scene,1
4859170265,1,Two blond females,in,public,/EN#211901/people,/EN#211903/scene,1
4859170265,3,Two blonds,on,a busy walkway,/EN#211901/people,/EN#211903/scene,0
4859170265,0,Two blond girls,;,one,/EN#211901/people,/EN#211905/other,0
4859170265,1,Two blond females,&#44;,one,/EN#211901/people,/EN#211905/other,0
4859170265,0,Two blond girls,and,the other,/EN#211901/people,/EN#211906/other,0
4859170265,1,Two blond females,and,the other,/EN#211901/people,/EN#211906/other,0
4859170265,0,Two blond girls,is holding,balloons,/EN#211901/people,/EN#211902/other,0
4859170265,1,Two blond females,holding,a bunch of multicolored balloons,/EN#211901/people,/EN#211902/other,0
4859170265,2,A blond woman,holds,a bouquet of balloons,/EN#211901/people,/EN#211902/other,0
4859170265,3,Two blonds,and,balloons,/EN#211901/people,/EN#211902/other,0
4859170265,4,Two woman,are selling,balloons,/EN#211901/people,/EN#211902/other,1
4859170265,0,a public space,;,one,/EN#211903/scene,/EN#211905/other,0
4859170265,1,public,&#44;,one,/EN#211903/scene,/EN#211905/other,0
4859170265,0,a public space,and,the other,/EN#211903/scene,/EN#211906/other,0
4859170265,1,public,and,the other,/EN#211903/scene,/EN#211906/other,0
