ImageID,SentenceNo,Entity1,Relation,Entity2,Entity1ID,Entity2ID,Answer,NumberOfWorkers,WorkerAnswer,WorkerAccuracy
100652400,2,A man,on,a street corner,/EN#197/people,/EN#200/scene,1,5,1-1-1-1-1,0.8-1.0-1.0-1.0-0.6
100652400,1,A man,waving,an orange flag,/EN#197/people,/EN#201/other,1,5,1-1-1-1-0,1.0-1.0-1.0-1.0-1.0
100652400,3,A construction worker,and holding,a red flag,/EN#197/people,/EN#201/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
100652400,1,a hard hat,waving,an orange flag,/EN#198/clothing,/EN#201/other,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
100652400,2,hard hat,holds,a flag,/EN#198/clothing,/EN#201/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
100652400,4,a hard hat,holds,a flag,/EN#198/clothing,/EN#201/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
100652400,4,a reflective vest,in,the road,/EN#199/clothing,/EN#200/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
100652400,1,a caution vest,waving,an orange flag,/EN#199/clothing,/EN#201/other,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
100652400,2,bright vest,holds,a flag,/EN#199/clothing,/EN#201/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
100652400,4,a reflective vest,holds,a flag,/EN#199/clothing,/EN#201/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
100652400,3,the street,and holding,a red flag,/EN#200/scene,/EN#201/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
101958970,2,A man,with,a little girl,/EN#597/people,/EN#596/people,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-0.8
101958970,2,a pink cart,in,the grocery store,/EN#597/vehicles,/EN#598/scene,1,5,0-1-1-0-1,1.0-1.0-1.0-1.0-0.8
102851549,1,a little boy,in,his chair,/EN#798/people,/EN#804/other,1,5,0-1-1-1-1,1.0-1.0-1.0-1.0-1.0
102851549,2,a child,sit in,chairs,/EN#798/people,/EN#804/other,1,5,1-0-1-1-1,1.0-1.0-1.0-1.0-1.0
1077546505,1,A child,is falling off,a slide,/EN#1845/people,/EN#1849/scene,0,5,1-0-0-0-1,1.0-1.0-1.0-1.0-1.0
1077546505,3,A boy,slides down,a slide,/EN#1845/people,/EN#1849/scene,1,5,1-1-0-1-1,1.0-1.0-1.0-1.0-1.0
1077546505,4,A boy,rides down,a slide,/EN#1845/people,/EN#1849/scene,1,5,1-1-0-1-1,1.0-1.0-1.0-1.0-1.0
1077546505,0,A boy,into,a wading pool,/EN#1845/people,/EN#1846/scene,1,5,1-1-1-0-1,1.0-1.0-1.0-1.0-1.0
1077546505,1,A child,floating on,a pool of water,/EN#1845/people,/EN#1846/scene,0,5,1-0-0-1-0,1.0-1.0-1.0-1.0-1.0
1077546505,2,A boy,into,a pool,/EN#1845/people,/EN#1846/scene,1,5,0-1-1-0-1,1.0-1.0-1.0-1.0-1.0
1077546505,4,A boy,into,a small backyard pool,/EN#1845/people,/EN#1846/scene,1,5,0-1-1-0-1,1.0-1.0-1.0-1.0-1.0
1077546505,0,A boy,with,inflatable toys,/EN#1845/people,/EN#1848/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
1077546505,1,A child,onto,colored balloons,/EN#1845/people,/EN#1848/other,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,2,A boy,with,colorful tubes,/EN#1845/people,/EN#1848/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
1077546505,0,A boy,floating in,the water,/EN#1845/people,/EN#1846/scene,1,5,1-1-1-0-1,1.0-1.0-1.0-1.0-1.0
1077546505,0,blue swimming trunks,slides down,a yellow slide,/EN#1847/clothing,/EN#1849/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,3,blue shorts,slides down,a slide,/EN#1847/clothing,/EN#1849/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,0,blue swimming trunks,into,a wading pool,/EN#1847/clothing,/EN#1846/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,3,blue shorts,into,a pool,/EN#1847/clothing,/EN#1846/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,0,blue swimming trunks,floating in,the water,/EN#1847/clothing,/EN#1846/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,0,a yellow slide,into,a wading pool,/EN#1849/scene,/EN#1846/scene,0,5,1-0-0-1-0,1.0-1.0-1.0-1.0-1.0
1077546505,1,a slide,floating on,a pool of water,/EN#1849/scene,/EN#1846/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
1077546505,0,a yellow slide,with,inflatable toys,/EN#1849/scene,/EN#1848/other,1,5,1-1-0-1-0,1.0-1.0-1.0-1.0-1.0
1077546505,2,a slide,with,colorful tubes,/EN#1849/scene,/EN#1848/other,1,5,1-1-0-1-0,1.0-1.0-1.0-1.0-1.0
1077546505,0,a yellow slide,floating in,the water,/EN#1849/scene,/EN#1846/scene,0,5,0-0-1-0-0,0.8-1.0-0.8-0.8-1.0
1100214449,1,A boy,is jumping in front of,a water fountain,/EN#2525/people,/EN#2526/scene,1,5,1-1-1-1-1,0.8-1.0-0.8-1.0-1.0
1100214449,2,A little boy,is playfully jumping off,the side of a fountain,/EN#2525/people,/EN#2526/scene,1,5,1-1-1-1-1,0.8-1.0-0.8-1.0-1.0
1100214449,3,A happy boy,OD,city fountain,/EN#2525/people,/EN#2526/scene,1,5,1-0-1-1-0,0.8-1.0-0.8-1.0-1.0
1100214449,4,A little boy,is jumping in front of,a fountain,/EN#2525/people,/EN#2526/scene,1,5,1-1-1-1-1,0.8-1.0-0.8-1.0-1.0
110802332,1,a hockey player,named &#34;,David,/EN#2809/people,/EN#2809/people,1,5,1-1-1-1-1,0.8-1.0-1.0-0.8-0.8
110802332,3,A hockey player,as,a defenceman,/EN#2809/people,/EN#2809/people,1,5,1-1-0-1-1,0.8-1.0-1.0-0.8-0.8
110802332,1,a hockey player,&#34; is trying to score against,the goalie,/EN#2809/people,/EN#2808/people,1,5,1-1-1-1-1,0.8-1.0-1.0-0.8-0.8
110802332,1,David,&#34; is trying to score against,the goalie,/EN#2809/people,/EN#2808/people,1,5,1-1-1-1-0,0.8-1.0-1.0-0.8-0.8
110820212,0,A man,in,a gray uniform,/EN#2820/people,/EN#2823/clothing,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
110820212,2,A man,in,a factory,/EN#2820/people,/EN#2821/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
110820212,3,A technician,to open,a huge safe,/EN#2820/people,/EN#2822/other,0,5,0-0-0-1-0,1.0-1.0-1.0-1.0-1.0
110820212,4,A professional glass maker,in,a gigantic oven,/EN#2820/people,/EN#2822/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
1121053156,0,a child,is maybe demonstrating how to do,something,/EN#3096/people,/EN#3101/other,1,5,1-1-0-1-0,1.0-1.0-1.0-1.0-0.8
1121053156,3,child,doing,maintenance,/EN#3096/people,/EN#3101/other,0,5,0-1-0-1-0,1.0-1.0-1.0-1.0-0.8
1121053156,3,A man,doing,maintenance,/EN#3097/people,/EN#3101/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-0.8
1121053156,1,A man,pointing to,some machinery,/EN#3097/people,/EN#3099/other,0,5,1-0-0-0-1,1.0-1.0-1.0-1.0-0.8
1121053156,2,A man,stand next to,a blue and black tube,/EN#3097/people,/EN#3099/other,1,5,1-0-1-1-1,1.0-1.0-1.0-1.0-0.8
1121053156,2,a child,stand next to,a blue and black tube,/EN#3096/people,/EN#3099/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-0.8
1121053156,3,child,on,a ship,/EN#3096/people,/EN#3099/other,1,5,1-0-0-1-1,1.0-1.0-1.0-1.0-0.8
113032513,2,A younger boy,and stocking,cap,/EN#3339/people,/EN#3340/clothing,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
113032513,3,A child,standing outside in,a matching cap,/EN#3339/people,/EN#3340/clothing,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
1131932671,0,The boy,is bouncing on,the bed,/EN#3418/people,/EN#3420/other,1,5,1-1-1-1-1,0.8-1.0-0.8-1.0-1.0
1131932671,2,A boy,jumped up from,the green bed,/EN#3418/people,/EN#3420/other,1,5,1-1-1-1-1,0.8-1.0-0.8-1.0-1.0
