ImageID,SentenceNo,Entity1,Relation,Entity2,Entity1ID,Entity2ID,Answer
100652400,0,A man,in,a blue hard hat,/EN#197/people,/EN#198/clothing,1
100652400,1,A man,wearing,a hard hat,/EN#197/people,/EN#198/clothing,1
100652400,2,A man,and,hard hat,/EN#197/people,/EN#198/clothing,0
100652400,4,A man,and,a hard hat,/EN#197/people,/EN#198/clothing,0
100652400,0,A man,and,orange safety vest,/EN#197/people,/EN#199/clothing,0
100652400,1,A man,and,a caution vest,/EN#197/people,/EN#199/clothing,0
100652400,2,A man,in,bright vest,/EN#197/people,/EN#199/clothing,1
100652400,4,A man,wearing,a reflective vest,/EN#197/people,/EN#199/clothing,1
100652400,0,A man,stands in,an intersection,/EN#197/people,/EN#200/scene,1
100652400,1,A man,is standing in,the street,/EN#197/people,/EN#200/scene,1
100652400,2,A man,on,a street corner,/EN#197/people,/EN#200/scene,0
100652400,3,A construction worker,is standing in,the street,/EN#197/people,/EN#200/scene,0
100652400,4,A man,in,the road,/EN#197/people,/EN#200/scene,0
100652400,0,A man,while holding,a flag,/EN#197/people,/EN#201/other,0
100652400,1,A man,waving,an orange flag,/EN#197/people,/EN#201/other,0
100652400,2,A man,holds,a flag,/EN#197/people,/EN#201/other,1
100652400,3,A construction worker,and holding,a red flag,/EN#197/people,/EN#201/other,0
100652400,0,a blue hard hat,and,orange safety vest,/EN#198/clothing,/EN#199/clothing,0
100652400,1,a hard hat,and,a caution vest,/EN#198/clothing,/EN#199/clothing,0
100652400,0,a blue hard hat,stands in,an intersection,/EN#198/clothing,/EN#200/scene,0
100652400,1,a hard hat,is standing in,the street,/EN#198/clothing,/EN#200/scene,0
100652400,2,hard hat,on,a street corner,/EN#198/clothing,/EN#200/scene,0
100652400,4,a hard hat,in,the road,/EN#198/clothing,/EN#200/scene,0
100652400,0,a blue hard hat,while holding,a flag,/EN#198/clothing,/EN#201/other,0
100652400,1,a hard hat,waving,an orange flag,/EN#198/clothing,/EN#201/other,0
